CUST_CODE,CUST_LIFESTAGE_LABEL,CUST_LIFESTAGE_CD,CUST_PRICE_SENSITIVITY_LABEL,CUST_PRICE_SENSITIVITY_CD,Start_Date,Last_Date,FQ,Total_Spend,MTBP,Life_Time,ARPU,CLTV,BASKET_SIZE_L,BASKET_SIZE_M,BASKET_SIZE_S,BASKET_PRICE_SENSITIVITY_LA,BASKET_PRICE_SENSITIVITY_MM,BASKET_PRICE_SENSITIVITY_UM,BASKET_PRICE_SENSITIVITY_XX,BASKET_TYPE_Full Shop,BASKET_TYPE_Small Shop,BASKET_TYPE_Top Up,BASKET_TYPE_XX,BASKET_DOMINANT_MISSION_Fresh,BASKET_DOMINANT_MISSION_Grocery,BASKET_DOMINANT_MISSION_Mixed,BASKET_DOMINANT_MISSION_Nonfood,BASKET_DOMINANT_MISSION_XX
CUST0000000181,Other,5,Mid Market,1,2007-01-06 00:00:00,2007-01-06 00:00:00,1,2.44,0,556,2.44,1356.64,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000000689,Other,5,Less Affluent,0,2007-07-22 00:00:00,2008-06-23 00:00:00,16,328.57,21.0625,359,20.535625,7372.289375,0.5625,0.25,0.1875,0.375,0.625,0,0,0.4375,0.3125,0.25,0,0.3125,0.1875,0.4375,0.0625,0
CUST0000000998,Other,5,Unclas,3,2006-05-04 00:00:00,2006-07-07 00:00:00,3,5.95,21.33333333,803,1.983333333,1592.616667,0,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,0.666666667,0,0.333333333,0
CUST0000001163,Other,5,Mid Market,1,2006-10-22 00:00:00,2008-06-22 00:00:00,4,39.74,152.25,632,9.935,6278.92,0.5,0,0.5,0.25,0.75,0,0,0,0.5,0.5,0,0.75,0,0.25,0,0
CUST0000001194,Other,5,Mid Market,1,2006-04-22 00:00:00,2008-06-20 00:00:00,103,2493.83,7.669902913,815,24.21194175,19732.73252,0.689320388,0.223300971,0.087378641,0.029126214,0.650485437,0.310679612,0.009708738,0.330097087,0.184466019,0.485436893,0,0.533980583,0.097087379,0.349514563,0.019417476,0
CUST0000002257,Young Adults,0,UP Market,2,2006-07-21 00:00:00,2006-07-21 00:00:00,1,1.99,0,725,1.99,1442.75,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
CUST0000002605,Other,5,Mid Market,1,2006-10-08 00:00:00,2008-06-12 00:00:00,6,1.8,102.1666667,646,0.3,193.8,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000002637,OA,1,UP Market,2,2006-08-03 00:00:00,2008-05-30 00:00:00,15,124.63,44.4,712,8.308666667,5915.770667,0.333333333,0.4,0.266666667,0.4,0.133333333,0.466666667,0,0,0.4,0.6,0,0.466666667,0.266666667,0.266666667,0,0
CUST0000002638,Young Adults,0,Less Affluent,0,2007-04-14 00:00:00,2007-04-14 00:00:00,1,15.59,0,458,15.59,7140.22,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000002813,Other,5,Mid Market,1,2007-07-31 00:00:00,2008-04-12 00:00:00,12,145.02,21.33333333,350,12.085,4229.75,0.666666667,0.333333333,0,0.083333333,0.666666667,0.25,0,0,0.166666667,0.833333333,0,0.666666667,0.083333333,0.25,0,0
CUST0000003028,Other,5,Mid Market,1,2007-09-16 00:00:00,2008-01-04 00:00:00,6,10.61,18.33333333,303,1.768333333,535.805,0,0,1,0.166666667,0.333333333,0.5,0,0,1,0,0,0.5,0.5,0,0,0
CUST0000003287,Young Families,2,Mid Market,1,2006-05-02 00:00:00,2008-05-10 00:00:00,13,254.1,56.84615385,805,19.54615385,15734.65385,0.538461538,0.230769231,0.230769231,0.076923077,0.846153846,0.076923077,0,0.461538462,0.384615385,0.153846154,0,0.230769231,0.076923077,0.538461538,0.153846154,0
CUST0000003667,Other,5,UP Market,2,2007-01-11 00:00:00,2007-01-11 00:00:00,1,6.98,0,551,6.98,3845.98,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
CUST0000004088,Pensioners,4,Mid Market,1,2006-04-13 00:00:00,2008-06-29 00:00:00,82,900.3,9.853658537,824,10.97926829,9046.917073,0.43902439,0.475609756,0.085365854,0.268292683,0.402439024,0.292682927,0.036585366,0.073170732,0.43902439,0.451219512,0.036585366,0.56097561,0.207317073,0.182926829,0.012195122,0.036585366
CUST0000005054,Other,5,Mid Market,1,2006-05-29 00:00:00,2008-06-15 00:00:00,8,80.06,93.5,778,10.0075,7785.835,0.5,0.25,0.25,0.25,0.75,0,0,0,0.25,0.75,0,0.125,0.5,0.375,0,0
CUST0000005057,Other,5,Mid Market,1,2006-10-11 00:00:00,2008-04-09 00:00:00,4,102.49,136.5,643,25.6225,16475.2675,1,0,0,0.5,0.5,0,0,0.25,0,0.75,0,0.75,0,0.25,0,0
CUST0000006193,OA,1,Mid Market,1,2007-02-17 00:00:00,2007-11-10 00:00:00,4,16.31,66.5,514,4.0775,2095.835,0,0.5,0.5,0.5,0.25,0.25,0,0,0.75,0.25,0,0.5,0.25,0.25,0,0
CUST0000006298,Young Adults,0,Mid Market,1,2008-03-02 00:00:00,2008-03-02 00:00:00,1,13.62,0,135,13.62,1838.7,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
CUST0000006617,OA,1,Mid Market,1,2006-12-14 00:00:00,2006-12-14 00:00:00,1,65.97,0,579,65.97,38196.63,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
CUST0000006666,Young Adults,0,Less Affluent,0,2006-07-03 00:00:00,2008-05-19 00:00:00,7,57.02,98,743,8.145714286,6052.265714,0.142857143,0.285714286,0.571428571,0.428571429,0.285714286,0.285714286,0,0.142857143,0.714285714,0.142857143,0,0.428571429,0.285714286,0.285714286,0,0
CUST0000007392,Young Adults,0,Mid Market,1,2006-07-02 00:00:00,2008-06-05 00:00:00,8,85.8,88,744,10.725,7979.4,0.5,0.375,0.125,0,0.625,0.375,0,0.375,0.25,0.375,0,0.25,0,0.75,0,0
CUST0000007712,Young Families,2,Less Affluent,0,2006-10-06 00:00:00,2008-06-01 00:00:00,10,94.28,60.4,648,9.428,6109.344,0.1,0.4,0.5,0,0.9,0,0.1,0,0.9,0.1,0,0.5,0.2,0.2,0.1,0
